file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
test_audio,0.3014,1.0,transcription,-57.936379825367645,,,2.8319615214511273
test_audio,2.1682,3.0,transcription,-55.99220558449074,,,4.742205420271542
test_audio,4.0414,4.7,transcription,-60.47236251831055,,,1.3641948014245706
test_audio,5.8128,6.58,transcription,-53.37721354166667,,,8.544600976124585
