seg_dur,min_pause,hit_rate,eff_rate,sWER,n_files
5,0.2,0.9763,0.9419,0.3255,8
10,0.2,0.9771,0.9433,0.1221,8
15,0.2,0.9765,0.942,0.0662,8
20,0.2,0.9744,0.9436,0.1084,8
30,0.2,0.9733,0.9446,0.1177,8
